image_name|comment_number|comment|Translated Comment
2703155733.jpg|0|A woman wearing a red and white gown holds a long scarf behind her .|Улаан, цагаан өнгийн даашинз өмссөн эмэгтэй түүний ард урт ороолтыг барьдаг.
2703515269.jpg|0|A group of people , many in white coats , work in a laboratory .|Бүлгийн бүлэг хүмүүс, цагаан цув, лабораторид ажилладаг.
270419656.jpg|0|Two adults and three small children are walking on a sidewalk in a park-like setting .|Хоёр насанд хүрэгчид, гурван жижиг хүүхдүүд явган хүний зам дээр явган хүний зам дээр алхаж байна.
2704257993.jpg|0|Three children on skates in an arena two girls and one boy , boy is wearing orange wheeled skates .|Гурван хүүхэдтэй тэшүүр дээр гурван хүүхэд, нэг хүү, нэг хүү, хүү нь улбар шар өнгийн тэшүүр өмссөн байна.
2704362232.jpg|0|a small brown and white dog swimming through the pool next to a man .|Хүний хажууд усан сан руу усан сангаар дамжин цэцэглэдэг жижиг бор, цагаан нохой.
2704379125.jpg|0|A black dog follows a group of sheep walking in a field of grass .|Хар нохой нь өвслөг талбайд алхаж буй хонины бүлгийг дагадаг.
2704407589.jpg|0|Two puppies inside a vehicle are watching a woman exit another vehicle close by .|Тээврийн хэрэгслийн дотор хоёр гөлөг нь эмэгтэй хүн ойртох өөр тээврийн хэрэгслээс гардаг.
2704934519.jpg|0|A woman in a river is shaking her hair causing a water to spray everywhere .|Гол мөрөнд эмэгтэй хүн үсээ сэгсрэх нь хаа сайгүй шүршихэд ус үүсгэдэг.
2705099033.jpg|0|Four guys including one with a black backpack , one drinking coffee , one in a red shirt and one with a gray shirt are watching Elmo on tv .|Нэг залууг хараал идэж, нэг кофе уусан кофе, кофе ууж, нэг улаан цамц, саарал цамц өмссөн, саарал цамцтай нэг нь ТВ-ээр Элмо үзэж байна.
2705099231.jpg|0|Elderly adults and young adults , having a party and dancing .|Ахмад насанд хүрэгчид, залуу насанд хүрэгчид үдэшлэг, бүжиглэж, бүжиглэдэг.
2705099283.jpg|0|Some young people of color and some older ladies are standing in a circle , clapping hands to music being played .|Зарим залуу хүмүүс, зарим хөгшин бүсгүйчүүд, зарим хөгшин бүсгүйчүүд тойрог дээр зогсож, хөгжим тоглох гартаа гартаа гардаг.
2705099581.jpg|0|three boys visit their grandmother often at senior citizen home to play their favorite game scrabble .|Гурван хөвгүүн эмээ дээрээ очив.
2705099765.jpg|0|A man wearing a blue casual shirt with money green shorts and black hat pointing toward the yellow object in an elderly gathering .|Ногоон шорт, хар өнгийн шорт, хар толботой, ногоон объект руу чиглэсэн цэнхэр өнгийн хар шорт, хар малгай өмссөн хүн.
2705099783.jpg|0|A man in a black hat with one leg is standing in front of a wheelchair throwing something while an older woman and tow younger men watch .|Нэг хөлтэй хар малгай өмссөн хүн хөгшин эмэгтэй, хөгшин эмэгтэй, залуу эрчүүдийг харж байхад тэргэнцэр дээр зогсож байна.
2705101169.jpg|0|A man in an orange shirt standing on the grass just off the path while a woman in a blue shirt looks back at him from farther up the cement path .|Цэнхэр цамц өмсөж, цэнхэр цамц өмсдөг хүн зөвхөн цэнхэр цамц өмсөж байхдаа зүгээр л цэнхэр цамцтай эмэгтэй зам дээр гарав.
2705101261.jpg|0|A bigger man with a gray shirt and sweatband going down the stairs where another guy in glasses and an orange shirt is standing .|Саарал цамцтай, цамцтай, цамцтай, шилэн шилэн дээр шилжсэн, шар өнгийн цамц, улбар шар цамц зогсож байна.
