image_name|comment_number|comment|Translated Comment
3421706363.jpg|0|A boy in dark pants and green t-shirt rides his bike up a ramp .|Харанхуй өмд, ногоон футболк, Ногоон футболк нь дугуйгаа налуу зам дээр унадаг.
3421789737.jpg|0|A young boy rides a blue and yellow merry-go-round with an adult male hand in the foreground .|Насанд хүрэгчдийн нүүрэн дээр насанд хүрэгчдийн эрэгтэй, шар өнгийн хөх, шар өнгийн зугаа цэнгэлийг унагав.
3421799315.jpg|0|Father in white shirt and khaki shorts tenderly kisses his son , seen wearing a dark red shirt and denim pants , on the head as they share a quiet moment while sitting in the doorway of a van .|Цагаан цамцан дахь аав, Хаки шорт нь Хүүгээ, Хөшүүрэг, DELIM өмд өмсөж, ванны хаалган дээр сууж байв.
3421799543.jpg|0|A small child in a red jacket is showing off his toys while an older male in a white shirt appears to be driving the vehicle .|Улаан хүрэмтэй жижиг хүүхэд тоглоомондоо үсэрч байхдаа цагаан цамцтай эрэгтэйчүүдэд харуулж байна.
3421928157.jpg|0|Two blue inflatable rafts are involved in a collision on white water .|Цэнхэр өнгийн дүртэй хоёр цэнхэр өнгийн салаа нь цагаан устай мөргөлдөөнд оролцдог.
3422146099.jpg|0|Brown dog leaping over an obstacle bar in a room .|Браун нохой нь өрөөнд саад тотгор дээр үсрэв.
3422219732.jpg|0|A skier is skiing down a very steep slope with a mountain in the background .|Цэнэглэгч нь цанаар гулгаж байна.
3422394336.jpg|0|A dog hides in the tall grasses along a rocky shore|Нохой нь уулын эрэг дагуу өндөр өвсийг нуудаг
3422458549.jpg|0|An african american woman dressed in orange is hitting a tennis ball with a racquet .|Улбар шар өнгийн хувцасласан Африк гаралтай Америк эмэгтэйн эмэгтэй теннисний бөмбөгийг ракеттай цохиж байна.
3422654731.jpg|0|Two men who are jogging with numbered signs on their shirts attempt to jump over a log in their path .|Цамцныхаа тоогоор дугаарласан хоёр эрчүүд өөрсдийнхөө зам дээр нэвтрэхийг оролдохыг оролддог хоёр эр.
342289499.jpg|0|A man sitting and holding a glass with a woman sitting wearing blue jeans and beige jacket smiling|Нэг хүн цэнхэр жинсэн өмд, шаргал хүрэм, шаргал хүрэм өмсөж байсан эмэгтэйтэй хамт шилжсэн хүн
342289865.jpg|0|Two young men and a young woman are sitting in a living room type setting as they talk and laugh together .|Хоёр залуу эрэгтэй, залуу эмэгтэй ярилцаж, ярилцаж байхдаа зочны өрөөний хэлбэрт сууж байна.
3422956895.jpg|0|A person wearing a blue top in a field of bright yellow flowers with a white flowered tree and another person in the background|Цагаан цэцэгтэй, цоорхойтой, өөр хүнтэй тод шар цэцгийн талбайд цэнхэр өнгөөр өмссөн хүн
3422979565.jpg|0|Some people are standing in a room around a circular reception desk .|Зарим хүмүүс дугуйны ширээн дээр байрлах өрөөнд зогсож байна.
3423225860.jpg|0|An african american woman is leaning over while holding a tennis racket .|Теннисний цохиурыг барьж байхдаа Африк гаралтай Америк эмэгтэй.
3423249426.jpg|0|A woman looks skeptically at the person taking a picture of her and 3 girls who are outdoors .|Эмэгтэй хүн түүний болон гадаа 3 охидын зургийг авч үзэж байгаад эргэлзээтэй харагддаг.
3423379643.jpg|0|A man drives a motorcycle , with a woman in an orange sari and a young girl in a blue dress riding in the backseat .|Эрэгтэй хүн мотоциклийг жолоодож, улбар шар өнгийн сар, цэнхэр даашинзтай, цэнхэр даашинзтай залуу хувцас өмсдөг.
3423509305.jpg|0|A brown dog wearing an orange collar leaping to catch a bright colored ball .|Улбар шар өнгийн хүзүүвчтэй бор хүзүүвч нь тод өнгөт бөмбөлөг барихын тулд улбар шар өнгийн захаар өмсдөг.
3423678845.jpg|0|A small child is holding a pink ball of yarn .|ЖИЖИГЧДИЙН ХҮҮХДҮҮДЭЭ Ягаан өнгийн бөмбөг барьж байна.
3423802527.jpg|0|Parade of cheerleaders wearing black , pink and white uniforms .|Хар, ягаан, цагаан өнгийн дүрэмт хувцас өмссөн хацар хүмүүсийн жагсаал.
3424424006.jpg|0|A bride and groom jump towards each other with arms outstretched .|Сүйт бүсгүй, хүргэн нь бие биенээ гараа сунгасан.
3424605029.jpg|0|The boy is wearing a blue shirt , and the girl is wearing black clothes .|Хүү цэнхэр цамц өмсөж, охин хар хувцас өмссөн байна.
3424851862.jpg|0|Three people are standing on the ruined building with their arms outstretched .|Гурван хүн зэвсэгтэй байшингаа гараа сунгасан барилга дээр зогсож байна.
3424861178.jpg|0|Two men in neon yellow jackets ride two brown horses down a street next to a bed of bright yellow flowers .|Неон Шар хүрэмтэй хоёр эрэгтэй, тод шар цэцгийн хажууд гудамжаар хоёр хүрэн морь унав.
3424861467.jpg|0|A child wearing a white shirt cutting paper with scissors while an adult wearing a blue sweater looks on .|Цэнхэр цамц өмссөн насанд хүрэгчдийг хайчилж, цагаан цамц өмссөн цагаан цамц өмссөн хүүхэд.
3424908564.jpg|0|A person with red-hair and a black shirt is standing outside , talking and gesturing with hands .|Улаан үстэй хүн, хар цамц нь гадаа зогсож, гараараа ярих, дохио өгдөг.
3424927725.jpg|0|A person in a yellow raincoat is sitting on the edge of a rock looking down|Шар борооны цув өмссөн хүн бол доошоо харсан чулуулгийн ирмэг дээр сууж байна
3424934891.jpg|0|Two dogs are playing together and fighting over a toy .|Хоёр нохой хамтдаа тоглож, тоглоомон дээр тэмцэж байна.
3425061393.jpg|0|A tennis player with green a green headband on is ready to hit the ball .|Ногоон толгойтой теннисний тоглогч бөмбөгийг цохиход бэлэн байна.
3425069551.jpg|0|a man in a pink and yellow shirt and blue headband is holding a tennis racquet whilst standing with his mouth open .|Ягаан, шар өнгийн цамц, цэнхэр өнгийн толгой, цэнхэр толгойн тууз нь амаа нээгээд зогсож байхдаа теннисний ракет барьж байна.
3425071001.jpg|0|A boy hits a tennis ball with a black and yellow racket .|Хөвгүүн теннисний бөмбөгийг хар, шар өнгийн цохиуртай цохиж байна.
3425127583.jpg|0|a tennis player is running on the court with his racquet in his hand .|Теннисчин нь шүүх дээр түүний гартаа ракеттай хамт шүүх дээр ажиллаж байна.
3425414048.jpg|0|A boy in a New York Mets shirt sitting on a toy Harly Davison motorcycle on a tennis court .|Нью-Йорк Метейбутын хөвгүүн теннисний Дэвид Дэвидсон Дэвид Дэвидсон Мотоцикл дээр теннисний талбай дээр сууж байна.
3425573919.jpg|0|Several people are at a park watching a chess game played with giant pieces .|Хэдэн хүн цэцэрлэгт хүрээлэнд байгаа шатрын тоглолтыг аварга том хэсгүүдээр тоглодог.
3425662680.jpg|0|A group of horses and riders are playing polo on the grass .|Морь, морьтон бүлэг хүмүүс зүлгэн дээр поло тоглож байна.
