image_name|comment_number|comment|Translated Comment
2571096893.jpg|0|A young child runs down a gravel road covered with dead leaves .|Залуу хүүхэд нас барагсдын навчаар хучигдсан хайрга зам дээр гүйдэг.
257180093.jpg|0|Two guys one in a white shirt with glasses and another with an orange blanket covering him it looks as though the man in the orange is getting his haircut .|Хоёр залуу нь нүдний шилтэй цагаан цамцтай, нөгөө нь улбар шар өнгийн хөнжилтэй, улбар шар өнгийн хөнжилтэй, улбар шар өнгийн хөнжил нь үс засалт хийж байгаа юм шиг харагдаж байна.
2572101672.jpg|0|The man in the black sweater is standing next to a green bird in a birdcage .|Хар цамцанд байгаа хүн шувууны шувууны дэргэдэх ногоон шувууны хажууд зогсож байна.
2572575687.jpg|0|Two african american young boys reading story books .|Африк гаралтай Америкийн хоёр залуу хөвгүүд түүх уншиж байна.
2572584029.jpg|0|A white man looks at books with two black children , standing next to a shelf of books .|Цагаан эр хоёр хар хүүхэдтэй номтой, номын тавиурын хажууд зогсож байв.
2572601229.jpg|0|A woman sits on a bench trying on a dressy sandal , with shoe boxes visible in the background .|Нэгэн эмэгтэй хувцас өмссөн шаахайн дээр сууж, гутлын хайрцагт харагддаг гутлын хайрцагт байрладаг.
2572604969.jpg|0|Boys having some great moments with a missionary in the city of Kinshasa , Democratic Republic of Congo .|Киншаса хотод Киншаса, Ардчилсан Бүгд Найрамдах Бүгд Найрамдах Бямба гарагт охидуудтай хамт олон сайхан мөчүүдтэй байдаг.
2572609425.jpg|0|Several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .|Дунд газар дахь хэд хэдэн хүн цагаан барилгын хажуу талд вандан сандал дээр сууж, гурван хүн барилгын өмнө хашаанд зогсож байв.
2572667907.jpg|0|A woman in a green shirt making a statement from a podium .|Ногоон цамцтай эмэгтэй хүн подиумаас мэдэгдэл хийж байна.
2572710697.jpg|0|A smiling woman wearing a metallic gold suit smiles in front of a pink glowing , crowded room .|Цагаан гялалзсан, хөл хөдөлгөөн ихтэй өрөөний өмнө инээмсэглэсэн инээмсэглэсэн эмэгтэй.
2572712647.jpg|0|A group of young girls all dressed in blue shirts with black pants are standing around in a music room .|Бүгд залуу охидууд бүгд цэнхэр цамц өмссөн цэнхэр цамц өмссөн цэнхэр цамц өмсдөг.
2572810231.jpg|0|There are two women smiling , one with a red jacket and blond-hair and another wearing a black pantsuit .|Улаан хүрэм, шаргал үстэй, өөр нэг нь хар өмд өмсдөг, өөр өөр өмсдөг.
2572812372.jpg|0|People look at a storefront display of a human like figure as they pass by on the street .|Хүмүүс гудамжаар дамжин өнгөрөх тусам хүний дэлгүүрийн дэлгүүрийн дэлгэцийг хардаг.
2572815587.jpg|0|This is George W Bush standing in front of a podium looking out intently into the crowd while his wife Barbara sits nearby smiling .|Энэ бол Жорж W-ийн урд зогсож байгаа подиумын урд зогсож байгаа подумын урд зогсож байхдаа эхнэр Барбара инээмсэглэж, инээмсэглэв.
2572817235.jpg|0|First Lady Laura Bush at podium , in front of seated audience , at the White House Conference on Global Literacy .|Эхний хатагтай Лаура Буш, суудалтай үзэгчдийн урд, дэлхийн бичиг үсгийн тухай цагаан байшингийн хуримтлалын өмнө.
2572988399.jpg|0|Four women are sitting against a home while a woman in a white skirt walks away .|Дөрвөн эмэгтэй цагаан банзал өмсөж байхдаа эмэгтэй хүний эсрэг сууж байна.
2572988623.jpg|0|Three people in black shirts sitting in a room with chairs lined against a wall and two tables in the middle of the room .|Хар цамцтай гурван хүн ханан дээр сууж байсан сандал дээр сууж, өрөөний дунд байрладаг хоёр ширээн дээр сууж байв.
2573008329.jpg|0|A young black man is trying to explain something to two other individuals .|Залуу хар хүн бусад хоёр хувь хүмүүст ямар нэгэн зүйлийг тайлбарлахыг хичээдэг.
2573009655.jpg|0|We should provide food and shelter to all these children here .|Бид энэ бүх хүүхдүүдэд хоол хүнс, хоргодох ёстой.
2573009825.jpg|0|A lady is filming school age children in an African village .|Нэг эмэгтэй бол Африкийн тосгонд сургуулийн насны хүүхдүүдийг кино хийдэг.
2573138540.jpg|0|A small , child on her hands and knees , appears to be wiping tiles with a cloth .|Жижигхэн, өвдөг, өвдөг дээрээ өвдөг дээрээ, өвдөг дээр нь алчуураар арчиж, даавуугаар арчиж хаядаг.
2573140722.jpg|0|A brunette wearing eyeglasses and white sweater , holding her toddler daughter with blond-hair , brown shirt , index finger in child 's mouth .|Брунетт, цагаан өнгийн цамц өмссөн нүдний шил, цагаан цамц өмссөн, цагаан өнгийн цамц, цагаан цамц, индекс
