image_name|comment_number|comment|Translated Comment
543712974.jpg|0|A boy looking up into the direction of the camera standing on a balcony in a city , with a Borders in the distance and a Corona box in the corner behind the boy .|Хөвгүүн хотын чиглэлд зогсож байгаа хөвгүүний чиглэлд зогсож, хөвгүүний цаана булан дахь хил дээр байрлах Камерын чиглэл рүү харж байна.
543797471.jpg|0|A young man waits on the steps of a stationary trolley in Berlin .|Берлин дахь Залуу эрчүүдийн хөдөлгөөнт троллейн алхамуудыг хүлээж байна.
5438152388.jpg|0|A scene at the monster truck rally with a vehicle in the air with over sized tires and a crowd of people in the seats in the background .|Мангас ачааны машинд агаарт байгаа тууралт, дэвсгэр дээр тууралт гарсан, тууралт, олон тооны хүмүүс
543875752.jpg|0|man in gray jacket with another hand holding a makeup brush near his face .|Нүүрний ойролцоо нүүр будалтын сойз агуулсан саарал хүрэмтэй хүн.
543940240.jpg|0|Children are jumping up and down inside a caged trampoline beside a building .|Хүүхдүүд байшингийн дэргэдэх трамплины дотор дээш, доошоо үсэрч байна.
5440115287.jpg|0|two people ( man and woman in their late twenties or early thirties ) on stage with a synthesizer and microphone .|Хоёр хүн (эрэгтэй, гучин насныхан) синтезизатор, микрофонтой тайзан дээр хоёр хүн (эрэгтэй, эрэгтэй, эмэгтэй хүн).
544039045.jpg|0|A shirtless man stands on a rooftop while pulling at the corner of it .|Цамцгүй эр дээвэр дээр нь тэнүүчилж байх үед дээвэр дээр зогсож байдаг.
544039061.jpg|0|Two men labor amid ladders , lumber and tools at replacing a roof to what appears to be a room added to a suburban home .|Хоёр эрчүүд Шат, модон, материалыг мандаж, хотын захын гэрт нэмж оруулсан өрөө болгон дүүргэсэн зүйл.
544046588.jpg|0|a shirtless man with long hair holds wooden sticks and his shirt next to a cement staircase .|Урт үстэй цамцгүй эр нь цементийн шат, цамцны дэргэд цементийн шатны хажууд байрладаг.
544122267.jpg|0|A girl sings on the swing set in the park , behind the leaves of the tree .|Модны навчны ард парк дахь дүүжин дүүжин дээр дүүжин дуулдаг.
5441246798.jpg|0|A local man is crouched on the ground next to some fresh fruit that his has just cut open with the knife in his hand .|Нутгийн хүн гартаа хутгаар нээгдсэн шинэхэн жимсний хажууд газар дээр нь наалддаг.
5441315625.jpg|0|Two monks in traditional orange robes are descending a staircase .|Уламжлалт улбар шар өнгийн дээлээр хоёр лам нар шатаар буурч байна.
544149309.jpg|0|A middle-aged white male with blue jeans , black gloves , no shirt and a hat is working on a roof .|Цэнхэр жинсэн өмд, хар өнгийн өмд, хар бээлий, цамц, цамцгүй, малгай, малгай нь дээвэр дээр ажиллаж байна.
5441804056.jpg|0|There are several people but three in particular , coming from a shopping center with boxes and plants in their carts .|Хэд хэдэн хүн байдаг, гэхдээ ялангуяа гурван хүн байдаг, тэр нь хайрцагт хайрцаг, ургамлын гардаг.
5442112383.jpg|0|Female toddler in a pink dress , scarf and headband presses her hand against and looks through a plate glass window why holding a toy and sucking on a pacifier .|Эмэгтэй өмд өмсөж, ороолт, ороолт, толгойн урдуур нь түүний гарыг дарж, Paciater-ийг барьж, пакатор дээр хөхүүлдэг.
544257613.jpg|0|A man making a funny face towards the camera using wide eyes and a large smile .|Эрэгтэй хүн өргөн нүд, том инээмсэглэлийг ашиглан камер руу инээдтэй царай гаргадаг.
544301311.jpg|0|Two women with white head garb and long dresses sitting in front of a door on steps reading and drinking a beverage .|Цагаан толгойн гар, урт даашинзтай, урт даашинзыг уншиж, ундаагаар унаж, ундуул.
