image_name|comment_number|comment|Translated Comment
6715658033.jpg|0|The lady is polishing her fingernails a bright red color .|Хатагтай нь түүний хурууны үзүүрийг тод улаан өнгөтэй болгодог.
6716031215.jpg|0|A female bowler dressed in blue , with another bowler in the background , prepares to throw a ball down the lane .|Эмэгтэй Боуллер цэнхэр өнгөөр хувцасладаг, арын хэсэгт өөр нум сумтай хамт, эгнээг доошоо бөмбөг хаяхаар бэлддэг.
6716053167.jpg|0|A blond-haired girl is standing in playing position in front of a bowling lane .|Шаргал үстэй охин боулингийн эгнээний урд байрлах байрлалд зогсож байна.
6716993355.jpg|0|A woman wearing a dark blue outfit covered in paint stands in front of a window , on which there is a partially-painted cartoon woman saying something in French .|Харанхуй цэнхэр өнгийн гоёмсог хувцас өмссөн хар хөх өнгийн хувцас өмссөн эмэгтэй нь францаар ямар нэг юм хэлдэг.
6717362031.jpg|0|A boy in blue swim trunks is jumping off a deck onto a body of water with boats in the background .|Цэнхэр сэлэлтийн хонгилд хөвгүүн арын хэсэгт усан онгоцоор усан дээр усаар үсэрч байна.
6718814177.jpg|0|Two professional hockey players skating by each other on the ice .|Мөсөн дээр бие биенээ тэшүүрээр гулгах хоёр мэргэжлийн хоккейн тоглогчид.
6720912181.jpg|0|A man clad in a green , blue , and white shirt and black shirts , bearing the number 225 on his shirt , jogs along a path lined with grasses and greenery .|Ногоон, цэнхэр, цагаан цамц, цагаан цамц, цагаан цамц, цагаан цамц, хар цамц, цагаан цамц, цагаан цамц, хар цамц, өвс, ногооноор дүүргэсэн зам дагуу гүйлт.
67210694.jpg|0|People standing on an observation deck looking out over Paris , the Effie tower is to the right .|Парисын дээгүүр гарч буй хүмүүс Парисын дээгүүр харагдаж байна
6721214117.jpg|0|A man , wearing a flamboyant shirt with red and gray stripes and black pants , bowling a bowling ball down the lane at a tournament .|Улаан, саарал өнгийн тууз, хар өмд, хар өмд, хар өмд өмсөж, боулингийн бөмбөгийг эгнүүлж, тэмцээн дээр боулингийн бөмбөгийг чангална.
6724744429.jpg|0|A southeast asian man , cigarette in mouth , looks slightly down at another person who is bent and carrying a large basket of an agricultural product on their head .|Зүүн Өмнөд Азийн хүн, аманд нь тамхи татдаг, толгой дээр нь хөдөө аж ахуйн бүтээгдэхүүний том сагсанд бага зэрэг доошоо харагддаг.
672619672.jpg|0|Two young boys in a play area at a store , jumping in a bright blue air filled bouncy while their moms look on .|Дэлгүүрт тоглох, гэрэлтэй цэнхэр өнгийн агаараар үсэрч, гэрэлтэй цэнхэр агаараар үсэрч, ээжүүдээ хардаг.
6727599793.jpg|0|A surfer rides on his stomach on a surfboard in green water .|Ногоон усанд гадаргуу дээр ходоодонд нь чиглүүлдэг.
6728801573.jpg|0|An Asian woman and a guy wearing blue jeans , blue shirt , and flip-flops are in a bicycle shop repairing the cycles .|Азийн эмэгтэй, цэнхэр жинсэн өмд, цэнхэр жинсэн өмд өмсөж, цэнхэр цамц өмсдөг, цэнхэр цамц өмсөж, флип флотууд нь унадаг дугуйн дэлгүүрт ордог.
6728804733.jpg|0|A man works on the wheel of a bicycle in a workshop , likely to repair a broken one .|Нэг хүн дугуй унадаг дугуйны дугуй дээр ажилладаг, эвдэрсэн байх магадлалтай.
6729742503.jpg|0|An asian man in a striped yellow shirt and shorts carrying some kelp and wading through a flooded area .|Судалтай шар цамц, kelp авч, үерт автаж, үерт автдаг
6730143407.jpg|0|a grungy looking band with tattered clothes , long hair , and instruments plays their music for an audience .|Туллайлалтай хувцас, урт үстэй, урт үстэй, багаж хэрэгсэл, багаж хэрэгсэл нь үзэгчиддээ хөгжим тоглодог.
6733162475.jpg|0|A motorcyclist wearing full protective gear on a green bike is about to descend a dirt mound .|Ногоон дугуйгаар бүрэн хамгаалалтын араа өмссөн мотоцикльчууд шороон дээлийг буулгах гэж байна.
6734323683.jpg|0|A crowd watches a woman emerging from under a small box while a man wearing a top hat , black and red checkered pants , stilts and a mustache assists her .|Олон хүн олон тооны малгай, хар, улаан, улаан, улаан шалгалтын өмд өмсөж байхдаа жижиг хайрцган дээр гарч ирж буй эмэгтэйг үзэж байна.
6734417.jpg|0|A small blond boy wearing a green coat , blue pants and white shoes is standing close to and looking at a body of water .|Ногоон хүрэм өмссөн жижиг шаргал хүү, цэнхэр өмд, цагаан гутал, цагаан гутал өмсдөг жижигхэн шар айраг, цагаан гутал нь ойрхон зогсож, усны биеийг хайж байна.
6735927053.jpg|0|A young man in a straw hat , jeans , and a plaid shirt sweeps dust from stone steps in front of a stone building .|Сүрэл малгай, жинсэн өмд, жинсэн өмд, пледжер, плайдер цамц нь чулуун барилгын урд байрлах чулуун алхмаар тоосыг шүүрддэг.
6738018405.jpg|0|Two young boys in flower pattern trunks are standing next to a wet brown dog .|Цэцгийн хэв маягийн хонгилд хоёр залуу хөвгүүд нойтон хүрэн нохойны дэргэд зогсож байна.
6738026527.jpg|0|A female figure skater wearing a blue outfit in mid-twirl on the ice with a big , yellow sign in the background .|Эмэгтэй зураг тэшүүрт цоорхойтой цахим тэшүүрт хувцас өмссөн цэнхэр өнгийн хувцас өмсдөг.
673806038.jpg|0|A boy in a green wetsuit takes his turn in a water sprinkler and a group of others wait .|Ногоон Ветсуитын хүү нь усны шүршигч, бусад хүмүүсийн хүлээлгэж өгдөг.
6739582637.jpg|0|With a bus in the foreground right on the picture , 3 bikers ride the white line on the side of the road , all in single file with their helmets on and the first wearing a green shirt with a backpack and a white car following closely behind them .|Зурган дээрх баруун талд автобусаар явж, 3 дугуйчид нь замын хажуугийн баруун мөрөнд, хамгийн түрүүнд ногоон цамц өмсөж, хамгийн түрүүнд ногоон цамц өмсдөгБайна уу.
6739641349.jpg|0|A woman in a blue hat and gray sweatshirt sits with a dark-haired female doctor while she has an IV in her hand .|Цэнхэр малгай, саарал цамцтай эмэгтэй, түүний гарт IV-тэй хар үстэй эмэгтэй эмчид сууж байна.
6742042393.jpg|0|Two people wearing shorts and athletic shoes are in a gym while one has his feet on the ground the second one is holding a ball with both his feet in the air .|Хөл, спортын гутал өмссөн хоёр хүн биеийн тамирын зааланд биеийн тамирын зааланд биеийн тамирын зааланд байдаг.
6743911073.jpg|0|A bicyclist is walking her bike through deep mud in a race .|Унадаг дугуйчид уралдаанд гүн шаварт алхаж байна.
6744211811.jpg|0|A small child , looks at a young woman while she smiles back at him , a older lady sits on the ground in the background .|Жижиг хүүхэд, залуу эмэгтэйг инээмсэглэж байхдаа залуу эмэгтэйг хараад хөгшин эмэгтэй арын хэсэгт байрладаг.
6744212617.jpg|0|Two dark-skinned children staring while the people behind them mix dust in their floral clothing .|Хоёр бараан арьстай хүүхдүүд ширтэж байхдаа өлсөж байхдаа тоосыг цэцэглэ.
674513893.jpg|0|A lone kayaker sits on the water at sunset with his paddle resting across his boat .|Ганцаарчилсан каякер нар жаргах үед нар жаргах үед нар жаргахдаа усан сэлүүрээр гүйж байв.
6745586595.jpg|0|A hockey player turns while staring off picture , large blue and yellow signs contrast the white ice and the player 's dark jersey .|Хоккейн тоглуулагч нь зураг ширтэж байхдаа харцаар гарч, том хөх, шар өнгийн шинж тэмдэг илэрдэг.
67491882.jpg|0|Outdoors in front of a crowd , a man plays an instrument by blowing into pipes he holds up to his face .|Хүмүүсийн урд гадаа гадаа байгаа, эрэгтэй хүний хоолойг үлээх замаар эр хүн багаж тоглодог.
67494245.jpg|0|A man in the background is cooking and the woman in the foreground turns to pose for the picture .|Арын дэвсгэр дээр эрэгтэй хүн хоол хийж, урд талдаа эмэгтэй хүний зургийг зураг авахаар болжээ.
6749663099.jpg|0|A black man with gray hair , a white shirt , and blue trousers is sleeping .|Саарал үстэй хар цамц, цагаан цамц, цэнхэр өмд, цэнхэр өмд унтаж байна.
6750572607.jpg|0|The young toddlers is dressed in yellow and purple , while sitting on the ground with three bucks filling them with dirt .|Залуу настнууд нь шар, ягаан, нил ягаан өнгөөр хувцаслаж, гурван доллараар нь шороо дүүргэх болно.
675153.jpg|0|The martial artist in white seems to have the upper hand on his older opponent .|Цагаан өнгөний уран зураач нь түүний том өрсөлдөгчдөө дээд гараа барьсан бололтой.
6753255813.jpg|0|This is a 49ers game being viewed from the home side most likely during half time due to the American flag on the field .|Энэ бол Талбай дээрх Америкийн далбаанаас хойш 499 тоглоомын үзэж байгаа.
675352682.jpg|0|A group of men wearing yellow safety hats and life vests are laughing while they manage white water rafting .|Шар Аюулгүй байдлын малгай, амьдралын хантааз өмссөн эрчүүд, амьдралын хантааз нь цагаан усыг зохицуулахыг удирдаж байхдаа инээж байна.
67537437.jpg|0|A man with a turquoise vest and black pants sits down in front of a brick monument .|Туркийн биелэгдэнэ, хар өмд нь тоосгоны хөшөөний урд сууж байв.
6754889771.jpg|0|5 ski-divers in mid-flight with cameras on their helmets - one with yellow smoke coming from foot and another with green smoke coming from foot .|Дуулал дээрх 5-р нислэгийн дунд нисдэг тэрэгний дундуур 5-аас дээш нисдэг - хөлөөсөө ирсэн, нөгөө нь ногоон утаа гарч ирэв.
6756425037.jpg|0|Two African boys are wearing orange paint on their faces , multiple necklaces , and earrings while embracing each other out front of a hut and looking at the camera .|Африкийн хоёр хөвгүүд улбар шар өнгийн будаг өмсөж, олон зүүлт өмсөж, овоохойтойгоо хамт бие биенийхээ урд, кампыг тэвэрч байхдаа олон зүүлт өмсдөг.
6756678811.jpg|0|An indian man is wearing a red shirt and jeans and is scaling a rock wall with a blue harness on .|Энэтхэг хүн улаан цамц өмсөж, жинсэн өмд өмсөж, жинсэн өмд өмсөж, цэнхэр өнгийн бэхэлгээтэй чулуулгийн хана масштабтай байдаг.
6756679029.jpg|0|A mountain climber , enjoys the hobby , climbing up , one step at a time .|Уулын уулчин, хобби, авирч, нэг удаад нэг алхам хий.
6757018587.jpg|0|A female softball player wearing blue and red crouches in the infield , waiting for the next play .|Датгалад цэнхэр, улаан зальтай эмэгтэйд зориулсан эмэгтэй софтболын тоглогч дараагийн тоглолтыг хүлээж байна.
6757904431.jpg|0|Two cheerleaders in dark blue pants and bra style top with yellow pompoms mid cheer .|Хар хөх өнгийн өмд, хөх хөх өнгийн өмд, хөх хөх Pompoms дунд зэргийн баяр баясгалантай.
6758092327.jpg|0|A man with long hair and a western hat sings and plays the guitar as he sits by the road with his tip jar nearby .|Урт үстэй эр, барууны малгай өмсөж, ойролцоо замаа тэвэрч, түүнтэй хамт зодоонд сууж байв.
6758527781.jpg|0|A man wearing a dark blue t-shirt and blue jeans and a younger woman wearing a red flowered dress are dancing together .|Хар хөх цэнхэр футболк, цэнхэр жинсэн өмд өмссөн хүн улаан жинсэн өмд өмссөн улаан цэцэглэдэг эмэгтэй өмсдөг залуу эмэгтэй хамтдаа бүжиглэж байна.
6758527995.jpg|0|A woman in a gray top and black and white checkered skirt and an ace bandage on her knee is dancing with a dark-haired man in a blue shirt and khaki pants .|Саарал, хар, цагаан, цагаан өнгийн шалгуур үзүүлсэн банзал, түүний өвдөг дээр ance bandage нь цэнхэр цамц, Хаки өмд өмсөж бүжиглэж байна.
6758528243.jpg|0|A casually-dressed man and woman are dancing together in front of a group of people with a brick wall in the background .|ХУВИЙН ХУГАЦАА, ЭМЭГТЭЙ, ХҮҮХДҮҮДЭД НЭГДСЭН НЭГДСЭН НЭГ ХҮНИЙГ ХҮСЭХГҮЙ БАЙНА.
6759026091.jpg|0|Young brunette figure skater photographed in mid twirl in her white skaters outfit|Залуу Брютетк Тэшүүрийн тэшүүрээр зурсан цагаан уран гулгагчдын дунд
6759038111.jpg|0|A brunette figure skater in a navy blue outfit and white skates twirls in the foreground while another figure skater in a light blue outfit skates behind her .|Тэнгисийн цэргийн цэнхэр хувцас, цагаан өнгийн тэшүүрт, цагаан тэшүүрт тэшүүр нь түүний ард байгаа гэрэлтэй тэшүүрээр гулсаж байх үед өөр нэг зураг.
