image_name|comment_number|comment|Translated Comment
8018752014.jpg|0|An older food vendor , in a white embroidered shirt , maroon vest and checked apron , is sitting , leaning forward , with her elbows on her knees and her hands clasped , behind her foodstuffs .|Цагаан хатгамал, цагаан өнгийн биелэгдэнэ, Maroon Exchange, Chearmented Pender, Шалгаж, шалгаж, тохойгоороо тохойгоороо тохойгоороо тохойгоороо тохойгоороо сууж, гараа тохойгоороо тохойгоороо тохойгоороо тохойгоороо, түүний гартаа тохойгоороо тохойгоороо тохойгоороо тохойгоороо тохойгоороо тохойгоороо тохойгоороо, түүний хоол хүнснийхээ ард гараа тохойгоороо тохойгоороо сууж, түүний гартаа тохойгоороо тохойгоороо тохойгоороо тохойгоороо тохойгоороо тохойгоороо, түүний гарт тохойгоороо тохойгоороо тохойгоороо, түүний гартаа хоол хүнсээ тохойгоороо тохойгоороо, гараа тохойгоороо тохойгоороо тохойгоороо тохойгоороо, түүний хоол хүнснийхээ ард гараа тохойгоороо тохойгоороо тохойгоороо тохойгоороо тохойгоороо тохойгоороо сууж байв.
8018915471.jpg|0|Three individuals are riding bikes down a steep slope in what seems to be a race .|Гурван хүн уралдаан болж байгаа юм шиг дотогшоо налууг дугуй унаж байна.
8019420543.jpg|0|A defensive football player from Wisconsin almost sacking the UTEP quarterback before he got rid of the ball .|Висконсиноос хамгаалалтын хөлбөмбөгийн хөлбөмбөгчин.
8022825509.jpg|0|A woman in black athletic gear and a blue helmet tries to move past another woman in similar gear and a black helmet with a referee on each side of them|Хар спортын араа, цэнхэр дуулга, цэнхэр дуулга нь ижил төстэй араатай, тэдэнтэй ижил төстэй араа, хар дуулга
8025522249.jpg|0|One man playing a trumpet , another playing a saxophone , and a third man playing the keyboard at a performance .|Нэг хүн бүрээ тоглож, өөр нэг нь саксофон тоглож, гараа гүйцэтгэл дээр тоглодог гуравдагч хүн.
8025717431.jpg|0|A youth soccer game , with one girl primarily in black and the other in yellow , is contested on a grass field .|Залуучуудын хөлбөмбөгийн тоглоом, нэг охинтой хамт нэг охинтой хамт хар, нөгөө нь хар, нөгөө нь шар өнгөтэй, өвсний талбай дээр өрсөлдсөн.
802594049.jpg|0|A man with a beard and a navy blue backwards baseball cap stares intently at something in the distance .|Баавгай, тэнгисийн цэргийн цэнхэр арын бейсболын малгай нь холын зайд ямар нэг зүйл дээр ямар нэгэн зүйл хардаг.
80282277.jpg|0|A young female dancer , wearing a pink top and pants , with her hair pulled behind her in a long ponytail , executes a step with one raised leg bent at the knee , and both arms extended and bent at the wrist , while two young people sit on folding chairs and watch .|Залуу эмэгтэй бүжигчин, ягаан өнгийн дээд, өмд өмсөж, үсээ урт ширхдэг, өвдөгнийхөө ард, хоёр гараа бугуйгаар аваачиж, хоёр ньсандал дээр нугалж, үзэх.
8029536.jpg|0|baby wearing blue and red suit kneeling next to vending machine|Хуурай, улаан, улаан өнгийн костюм өмссөн цэнхэр, улаан костюм өмсдөг
8030378528.jpg|0|Several men on bicycles pass a group of spectators , many of which are cheering for Great Britain .|Унадаг дугуй дээр хэд хэдэн эрчүүд бүлгийн үзэгчдийг дамжуулдаг, олон тооны Их Британийн баяр баясгалантай байдаг.
