image_name|comment_number|comment|corrected_comment
4003920724.jpg|0|A group of people outside playing drums and walking down the street wearing black and blue clothes .|Гадаа хэсэг хар цэнхэр хувцастай хүмүүс бөмбөр тоглож,  гудамжаар алхаж байна.
4003923771.jpg|0|A group of people stand behind a black sign , while some shout and raise their fists .|Хэсэг хүмүүс хар тэмдгийн ард зогсож байхад зарим нь хашгирч, нударгаа өргөж байна.
4004004911.jpg|0|A young dreadlocked woman is on stage , singing and playing acoustic guitar .|Тайзан дээр дуулж дуулж, акустик гитар тоглож буй тайзан дээр цоожтой залуу эмэгтэй байна.
4004035933.jpg|0|A group of ten people are in a van , all smiling at the camera .|Арван хүнтэй бүлэг фургонд сууж, бүгд камер руу инээмсэглэж байна.
4004704609.jpg|0|A group of white male sailors , senior officers in tan and black shirts , and a lower ranked , black sailor , dressed in the traditional white pants suit with blue tie , walking past a sushi restaurant .|Цэнхэр зангиатай уламжлалт цагаан өмдний хослол өмссөн цагаан өнгийн эрэгтэй далайчид, бор, хар цамцтай ахлах офицерууд, доод цолтой хар далайчин суши рестораны хажуугаар явж байна.
4004812878.jpg|0|A boy in a baseball uniform with white pants , a white hat , and a yellow shirt with the number fourteen on the back is raising his left leg .|Цагаан өмд , цагаан малгай , ар талдаа 14 гэсэн тоотой шар цамц өмссөн бейсболын дүрэмт хувцастай хүү зүүн хөлөө өргөж байна .
4005015759.jpg|0|A bird is flying through the air while children are playing on the beach .|Хүүхдүүд далайн эрэг дээр тоглож байхад шувуу агаарт нисч байна.
4005120966.jpg|0|A balding man wearing a dark , blue uniform is rolling a yellow stretcher containing a large , blue duffel bag .|Хар хөх өнгийн дүрэмт хувцас өмссөн халзан эр том цэнхэр цүнх бүхий шар дамнуурга өнхрүүлж байна.
4005459199.jpg|0|A man wearing sunglasses is sitting in the passenger seat of a silver vehicle .|Нарны шил зүүсэн эрэгтэй мөнгөн машины суудлын суудалд сууж байна.
400562847.jpg|0|A dog walks through the snow while blindfolded carrying something in his mouth .|Нохой амандаа юм бариад нүдээ боосон цас дундуур алхаж байна.
4005756399.jpg|0|A vendor , selling such kid-friendly items as popular cartoon balloons , water guns and clear umbrellas , wheels his stand around in the streets where he is selling .|Хүүхдэд ээлтэй хүүхэлдэйн киноны бөмбөлөг, усан буу, тунгалаг шүхэр гэх мэт зүйлсийг зарж борлуулдаг худалдагч гудамжинд зогсоолоо эргүүлж байна.
400598822.jpg|0|Two men are barbecuing their food while another prepares the meat .|Хоёр хүн хоолоо шарж байхад нөгөө хүн махаа бэлдэж байна.
4006075273.jpg|0|A man plays guitar and sings into a microphone while a woman sings into a microphone next to him .|Эр хүн гитар тоглож, микрофонд дуулж байхад эмэгтэй хүн хажууд нь микрофонд дуулж байна.
4006329734.jpg|0|Two young women , one in a blue blouse , the other in a bikini top , are standing at the table with beverages .|Нэг нь цэнхэр цамцтай, нөгөө нь бикини өмссөн хоёр залуу эмэгтэй ундаа бариад ширээний ард зогсож байна.
4006767585.jpg|0|Children in school one little boy cutting paper the other little boy is reading , they are both wearing brown sweaters .|Сургуулийн хүүхдүүд нэг бяцхан хүү цаас хайчилж, нөгөө бяцхан хүү уншиж байна, хоёулаа бор цамц өмссөн байна.
4007195454.jpg|0|A man not wearing a shirt dancing by himself with his eyes closed .|Цамц өмсөөгүй хүн нүдээ аниад ганцаараа бүжиглэж байна.
400739268.jpg|0|At the amusement park , a young lady tries to win a stuffed animal by playing one of the games .|Зугаа цэнгэлийн цэцэрлэгт хүрээлэнд нэгэн залуу бүсгүй нэг тоглоом тоглож чихмэл хожихыг оролдов.
400851260.jpg|0|A mist overshadows a man in winter gear and the winter landscape in front of him .|Өвлийн хувцас өмссөн хүнийг манан бүрхэж, түүний өмнөх өвлийн дүр төрхийг бүрхэв.
400946967.jpg|0|Young muscular African American man , cleaning a fish , shirtless .|Загас цэвэрлэж буй булчинлаг Африк Америк залуу цамцгүй .
400949109.jpg|0|Two young black men sit on a beach and work on fish netting while boats and other men are visible in the background .|Далайн эрэг дээр хоёр хар залуу сууж, загасны тор дээр ажиллаж байхад завь болон бусад эрчүүд цаана нь харагдаж байна.
