image_name|comment_number|comment|corrected_comment
1314231418.jpg|0|There is a man , just before nightfall , jumping from one mountain of rocks to another .|Орой болохын өмнөхөн нэг уулнаас нөгөө уул руу үсэрч буй хүн байна.
1315116409.jpg|0|A Drayton Manor Theme Park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .|Drayton Manor Theme Park галзуу хулгана улаан өнгийн зам дээр босоо тэнхлэгээр доошоо хурдалж, нүдэнд харагдах хэд хэдэн хүмүүс баяр хөөртэй, сэтгэл хөдөлсөн эсвэл айсан царайтай харагдаж байна.
1315402173.jpg|0|A young boy examines a field of pumpkins , with some already in his wheelbarrow .|Залуу хүү түрдэг тэргэндээ аль хэдийнээ хулууны талбайг үзэж байна.
131624221.jpg|0|A man in jeans and sandals sits outside near trees and a goose and plays a string instrument .|Жинс, сандаал өмссөн хүн гадаа мод, галууны дэргэд суугаад чавхдаст хөгжим тоглож байна.
1316247213.jpg|0|The girl in the purple top and shorts , wearing a hat , is laughing .|Нил ягаан өнгийн топ , шорт өмссөн малгай өмссөн охин инээж байна .
131632409.jpg|0|A girl in a bikini walks along the beach with huge clouds and a sandy beach behind her .|Бикинитэй охин асар том үүлс, ардаа элсэрхэг эрэг дагуулан алхаж байна.
1316458112.jpg|0|A man in a torn gray jacket holding some papers looks downward while standing behind a short-haired man in a brown shirt .|Учирсан саарал хүрэмтэй, цаас барьсан эрэгтэй бор цамц өмссөн богино үстэй залуугийн ард зогсож байхдаа доошоо харж байна.
1316505120.jpg|0|Four men , two of them with guitars , perform on a stage while several people with their hands in the air watch .|Дөрвөн эрэгтэй, хоёр нь гитартай, тайзан дээр гараа сунгасан хэд хэдэн хүн ажиглаж байна.
1317156.jpg|0|An ice cream truck with an open door is driving through a residential neighborhood .|Хаалга нь онгорхой зайрмагны машин орон сууцны хороолол дундуур явж байна.
1317292658.jpg|0|A boy is squinting while being sprayed with water from a flat ground surface .|Тэгш газрын гадаргуугаас усаар шүршиж байгаа хүү нүдээ цавчиж байна.
