image_name|comment_number|comment|corrected_comment
2448551720.jpg|0|An older man with glasses clasps his hands together as two seated individuals watch him .|Нүдний шилтэй ахимаг насны эр гараа атгаж суусан хоёр хүн түүнийг харж байна.
244867897.jpg|0|Two medium sized light brown dogs are playing tug-of-war with a dish cloth .|Хоёр дунд оврын цайвар бор нохой аяга тавагны даавуугаар олс татуулан тоглож байна.
244870123.jpg|0|Two large black dogs with red studded collars pulling on ends of a white rag on porch|Гавхан дээр цагаан өөдөсний үзүүрээс татсан улаан захтай хоёр том хар нохой
2448741990.jpg|0|An ATV rider clothed in red and black protective gear and wearing a helmet driving on a track with many onlookers .|Улаан, хар хамгаалалтын хувцас өмсөж, дуулга өмссөн ATV унадаг хүн олон хүнтэй зам дээр явж байна.
2448793019.jpg|0|A young child wearing sunglasses is at the base of a blue slide .|Нарны шил зүүсэн бага насны хүүхэд цэнхэр гулсуурын ёроолд байна.
244910130.jpg|0|A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass .|Хавайн цамц өмссөн нүдний шил зүүсэн хар үстэй сахалтай эр өвсөн дээр сууж байна.
244910177.jpg|0|Three woman walk down a city street and one has a pink purse .|Гурван эмэгтэй хотын гудамжаар алхаж, нэг нь ягаан өнгийн түрийвчтэй.
2449289139.jpg|0|A black and tan dog is running along a series of stone walkways spaced between grass .|Хар, бор нохой өвсний хооронд зайтай хэд хэдэн чулуун замаар гүйж байна.
2449446913.jpg|0|Group of people on a ball team wearing blue and white uniforms some of gloves on their hands one is wearing red shoes , tall trees are in the background .|Цэнхэр цагаан дүрэмт хувцас өмссөн бөмбөгний багийн хэсэг хүмүүс гартаа бээлий, нэг нь улаан гутал өмссөн, цаана нь өндөр моднууд байна.
2449518585.jpg|0|Child in a striped shirt is swinging from a rope swing .|Судалтай цамцтай хүүхэд олсны савлуураас савлаж байна.
2449552677.jpg|0|"A person with a brown hat and black jacket is in a wheelchair crossing in front of a sign that says """" park """" ."|"Хүрэн малгай, хар хүрэмтэй хүн """" цэцэрлэгт хүрээлэн """" гэсэн самбарын урд тэргэнцэртэй гарцан дээр сууж байна."
24498061.jpg|0|Three men , who appear to be Asian , are conversing near a carved wall , while another man sits on a bench with his eyes closed .|Ази бололтой гурван эрэгтэй сийлбэртэй хананы дэргэд ярилцаж байхад өөр нэг хүн сандал дээр нүдээ аниад сууж байна.
2449973721.jpg|0|A golfer , wearing all brown , takes a swing towards the trees on a golf course .|Бүтэн бор хувцас өмссөн гольфчин гольфын талбайн мод руу савлаж байна.
2450299735.jpg|0|A little girl in a white shirt sliding down a green slide splashing into a blue baby pool .|Цагаан цамц өмссөн бяцхан охин ногоон гулсуур дээрээс гулсаж, хүүхдийн цэнхэр усан сан руу үсэрч байна.
2450403073.jpg|0|A group of alternating men and women , all wearing blue jeans , walk with their arms entwined across a field .|Цэнхэр жинсэн өмд өмссөн эрэгтэй, эмэгтэй хүмүүс ээлжлэн ээлжлэн, талбай дээр гараа ороон алхаж байна.
2450453051.jpg|0|Man in white shirt tossing Frisbee for black and white dog who has a white Frisbee in its mouth .|Цагаан цамцтай эр амандаа цагаан фризбитэй хар, цагаан нохойд зориулж фризби шидэж байна.
2450461962.jpg|0|Man playing violin in front of people in what seems to be a bar .|Бааранд хүмүүсийн өмнө хийл тоглож буй эр .
2450468977.jpg|0|A young woman with blond-hair wearing a black sleeveless shirt is holding a guitar that is covered in stickers .|Хар ханцуйгүй цамц өмссөн шаргал үстэй залуу эмэгтэй наалтаар бүрхэгдсэн гитар барьж байна.
2450486758.jpg|0|A white dog in a blue leaps over a man in a blue outfit with yellow stars in order to catch a Frisbee whilst people stand by and watch .|Цэнхэр хувцастай цагаан нохой шар одтой цэнхэр хувцастай хүний дээгүүр харайж, хүмүүс хажууд нь харж байхад фризби барих гэж байна.
2451114871.jpg|0|Greyhounds racing chasing a mechanical rabbit around the track .|Тарын туулайнууд замын эргэн тойронд механик туулай хөөж уралдаж байна.
2451253577.jpg|0|"A man pulls a rope that is attached to a floating boat marked """" Avocet Market Drayton """" ."|" Avocet Market Drayton """" гэж тэмдэглэгдсэн хөвөгч завинд бэхлэгдсэн олсыг нэгэн эр татаж байна."
2451285022.jpg|0|The man wearing a tan hat and white shirt holds his brown dog which is wearing an orange collar .|Бүдгэр малгай, цагаан цамц өмссөн эр улбар шар захтай бор нохойгоо барьж байна.
245133696.jpg|0|A man in a black shirt and jeans stands at a microphone holding a guitar .|Хар цамц, жинсэн өмд өмссөн эрэгтэй гитар бариад микрофоны ард зогсож байна.
2451346427.jpg|0|A child poses in pike position while suspended from the still rings .|Хүүхэд хөдөлгөөнгүй цагирагнаас дүүжлэгдэж цурхайн байрлалд зурж байна.
2451988767.jpg|0|A little boy with his leg covered in painters tape , his brother wearing a superman cape .|Хөлөө зураачдын скочоор хучсан бяцхан хүү, ах нь супермэний нөмрөг өмссөн байна.
2452238877.jpg|0|A golden retriever is jumping off a wooden porch|Голден ретривер модон үүднээс үсэрч байна
2452334314.jpg|0|A show jumper wearing a blue helmet rides a white horse over wooden fence that is decorated with red and yellow flowers .|Цэнхэр дуулга өмссөн харайлтын тамирчин улаан, шар өнгийн цэцгээр чимэглэсэн модон хашаа дээгүүр цагаан морь унаж байна.
245252561.jpg|0|A black , shaggy-haired dog is playing with a brown and white , fluffy dog on the gravel .|Хар, сэвсгэр үстэй нохой бор цагаан, сэвсгэр нохойтой хайрган дээр тоглож байна.
2452591587.jpg|0|A woman puts on red lipstick while standing very close to the mirror .|Эмэгтэй хүн толинд маш ойрхон зогсож байгаад улаан уруулын будаг түрхэж байна.
2452605610.jpg|0|The man wearing a red shirt , is jumping into the air .|Улаан цамц өмссөн хүн агаарт үсэрч байна.
2452686995.jpg|0|Two people travel down a path going though a woods with a giant waterfall .|Аварга хүрхрээ бүхий ой дундуур хоёр хүн явж байна.
2452794213.jpg|0|An overhead view of an outdoor stand selling clothing and jewelry with two people looking at a stand and a person in an orange shirt kneeling down .|Хоёр хүн индэр рүү харж, улбар шар өнгийн цамц өмссөн хүн өвдөг сөгдөн сууж буй хувцас, үнэт эдлэл зарж буй гадаа лангууны дээд талын харагдац.
2452852757.jpg|0|A woman with a red and orange apron makes paper-mache orbs while her friend leans into the frame .|Улаан улбар шар өнгийн хормогчтой эмэгтэй найз нь хүрээ рүү бөхийж байх хооронд цаасан бөмбөрцөг хийдэг.
245307666.jpg|0|A shirtless man with tattoos , glasses and a baseball hat , touching a spotlight that is on .|Шивээстэй, нүдний шил, бейсболын малгай өмссөн цамцгүй эрэгтэй, гэрэлтүүлэгт хүрч байна.
2453318633.jpg|0|A tan and black dog leaps through a burning hoop on a field .|Талбай дээрх шатаж буй цагираг дундуур бор хүрэн хар нохой үсэрч байна.
245358696.jpg|0|A group of men in Bavarian-style clothing stand with steins of beer against a corn-looking backdrop , in an apparently Oktoberfest-themed event .|Октоберфестийн сэдэвтэй арга хэмжээнд Баварийн хэв маягийн хувцас өмссөн хэсэг эрчүүд эрдэнэ шиш шиг харагдах дэвсгэр дээр шар айраг барин зогсож байна.
2453891449.jpg|0|There are two dogs , black and white , and the black one is jumping .|Хар цагаан хоёр нохой байгаа бөгөөд хар нь үсэрч байна.
2453971388.jpg|0|Two smiling little girls playing in a fountain with other people .|Инээж буй хоёр бяцхан охин усан оргилуурт бусад хүмүүстэй тоглож байна.
2453990033.jpg|0|A young girl dressed in a red hoodie , red pants and red sneakers in a midair front split pose .|Улаан юүдэнтэй цамц, улаан өмд, улаан пүүз өмссөн залуу охин.
2454054454.jpg|0|A man in a dark shirt stands in front of produce on a pink tablecloth .|Хар цамцтай эр ягаан ширээний бүтээлэг дээр бүтээгдэхүүний өмнө зогсож байна.
2454062644.jpg|0|A woman in a pink scarf , purple sweater , green shirt , holding two boys , both in striped shirts , walking in a city park .|Ягаан ороолттой, нил ягаан цамцтай, ногоон цамцтай, судалтай цамцтай хоёр хүү тэвэрсэн эмэгтэй хотын цэцэрлэгт хүрээлэнд алхаж байна.
2454189540.jpg|0|A woman in a gray t-shirt is looking at a cellphone in her hand and another woman in a black top is looking down at a little boy with a blue hat and a striped white and blue shirt .|Саарал цамцтай эмэгтэй гартаа байгаа утас руу харж байгаа бол хар цамцтай өөр эмэгтэй хөх малгай, судалтай цагаан цэнхэр цамц өмссөн бяцхан хүү рүү харж байна.
245442617.jpg|0|The woman is holding up the line with the fish that she caught in the lake with her bamboo fishing pole .|Эмэгтэй хулсан шонгоороо нуураас барьсан загасныхаа утсыг барьж байна.
245460010.jpg|0|Several people in matching biking outfits are standing with their bicycles .|Тохирсон дугуйн хувцастай хэд хэдэн хүмүүс дугуйтайгаа зогсож байна.
