image_name|comment_number|comment|corrected_comment
2571096893.jpg|0|A young child runs down a gravel road covered with dead leaves .|Бага насны хүүхэд хатсан навчаар хучигдсан хайрган замаар гүйж байна.
257180093.jpg|0|Two guys one in a white shirt with glasses and another with an orange blanket covering him it looks as though the man in the orange is getting his haircut .|Нэг нь нүдний шилтэй цагаан цамцтай, нөгөө нь улбар шар өнгийн хөнжилтэй хоёр залуу, улбар шар хувцастай хүн үсээ засуулж байгаа бололтой.
2572101672.jpg|0|The man in the black sweater is standing next to a green bird in a birdcage .|Хар ноосон цамцтай хүн шувууны торонд байгаа ногоон шувууны дэргэд зогсож байна.
2572575687.jpg|0|Two african american young boys reading story books .|Африк гаралтай хоёр залуу үлгэрийн ном уншиж байна.
2572584029.jpg|0|A white man looks at books with two black children , standing next to a shelf of books .|Номын тавиурын дэргэд зогсож буй цагаан эр хоёр хар хүүхэдтэй ном үзэж байна.
2572601229.jpg|0|A woman sits on a bench trying on a dressy sandal , with shoe boxes visible in the background .|Эмэгтэй вандан сандал дээр сууж, хээнцэр шаахай өмсөж, цаана нь гутлын хайрцагнууд харагдана.
2572604969.jpg|0|Boys having some great moments with a missionary in the city of Kinshasa , Democratic Republic of Congo .|Бүгд Найрамдах Ардчилсан Конго Улсын Киншаса хотод номлогчтой өнгөрүүлсэн сайхан мөчүүдийг хөвгүүд .
2572609425.jpg|0|Several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .|Цагаан байшингийн хажуугийн вандан сандал дээр голд хэд хэдэн хүн сууж байхад барилгын урд талын хашаанд гурван хүн зогсож байна.
2572667907.jpg|0|A woman in a green shirt making a statement from a podium .|Индэр дээрээс мэдэгдэл хийж буй ногоон цамцтай эмэгтэй .
2572710697.jpg|0|A smiling woman wearing a metallic gold suit smiles in front of a pink glowing , crowded room .|Металл алтан хослол өмссөн инээмсэглэж буй эмэгтэй ягаан гэрэлтсэн, хөл хөдөлгөөн ихтэй өрөөний өмнө инээмсэглэж байна.
