image_name|comment_number|comment|corrected_comment
3642088668.jpg|0|A stewardess on an airplane pushes a cart down the center isle , looking carefully so as not to bump any of the passengers .|Онгоцны үйлчлэгч эмэгтэй зорчигчдын хэнийг ч мөргөхгүйн тулд анхааралтай ажиглан төв арал уруу тэрэг түрж байна.
364213568.jpg|0|One white and tan dog is chasing another white and brown dog who has a toy in its mouth .|Нэг цагаан бор нохой амандаа тоглоомтой өөр нэг цагаан бор нохой хөөж байна.
3642220260.jpg|0|Black dog walking on the beach after swimming in the ocean .|Далайд сэлж байгаад далайн эрэг дээр алхаж буй хар нохой .
36422830.jpg|0|A red jeep hangs from the edge of a rocky cliff as a girl looks on .|Хадан цохионы захаас улаан жийп унжсан охиныг харж байна.
3642570796.jpg|0|A woman in a multicolored top is walking down the street and holding a black purse while talking on her phone .|Олон өнгийн цамц өмссөн эмэгтэй гудамжаар хар түрийвч бариад утсаар ярьж байна.
3642604708.jpg|0|A boy toddler play outside on a clothes rack full of tied dye shirts .|Хөлд хөлд орж буй хүү гадаа хувцасны өлгүүрээр дүүрсэн будагтай цамц дээр тоглож байна.
364282261.jpg|0|A man in jeans and a tea shirt is scrubbing an area of the floor with a blue bucket and yellow ladder nearby .|Жинсэн өмд, цайны цамц өмссөн эрэгтэй ойролцоох шар шатан, цэнхэр хувингаар шалны талбайг үрж байна.
3643021980.jpg|0|A young girl in a baby pink outfit poses for the camera while holding onto a jungle gym in a playground .|Няцхан ягаан өнгийн хувцастай охин тоглоомын талбай дахь ширэнгэн ойн биеийн тамирын зааланд бариад камерын өмнө зуруулж байна.
3643022155.jpg|0|A woman who is holding a bright pink purse and has sunglasses clipped to her shirt is leaning against a wall .|Цамцандаа нарны шил зүүсэн тод ягаан өнгийн түрийвч барьсан эмэгтэй хана налан зогсож байна.
3643074723.jpg|0|A boy laying on a sitting swing , face down , wearing a hat backwards .|Сууж буй савлуур дээр нүүрээ доош харуулан хэвтсэн, малгайгаа арагшаа өмссөн хүү.
3643087589.jpg|0|A small light tan dog is running past a large brown dog standing in the grass .|Өвсөнд зогсож байсан том хүрэн нохойн дэргэдүүр жижигхэн цайвар бор нохой гүйж байна.
3643175169.jpg|0|A man wearing a white shirt and black pants balances at the top of a red ladder as it leans against a brick building .|Цагаан цамц, хар өмд өмссөн эрэгтэй тоосгон байшинг налан улаан шатны орой дээр тэнцвэрээ алдаж байна.
3643503169.jpg|0|A mother naps on the beach next to her also-sleeping infant .|Ээж эрэг дээр унтаж буй нялх хүүхдийнхээ хажууд унтаж байна.
3643666111.jpg|0|A Texas baseball player catches the ball as the ,  12 player from the opposite team slides into base with an umpire standing by , ready to make the call .|Техасын бейсболын тоглогч бөмбөгийг барьж авлаа. Эсрэг багийн 12 тоглогч дуудлагыг хийхэд бэлэн шүүгч зогсож байтал баазад гулсаж орж ирлээ.
3643666619.jpg|0|A guy in a red cap is standing on wooden beams and using a net to pulling something .|Улаан малгайтай залуу модон дам нуруун дээр зогсоод тороор юм татаж байна.
3643684044.jpg|0|Four people are sitting at a table , with microphones and bottles of water in front of them .|Дөрвөн хүн ширээний ард сууж, урд нь микрофон, савтай ус байна.
3643684616.jpg|0|Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing .|Хар цамц, нүдний шил зүүсэн эмэгтэйчүүд хажууд нь өөр эмэгтэйтэй цэнхэр үзүүртэй микрофоноор ярьж байна.
3643684688.jpg|0|A group of four men sits at a table on a platform before an audience in a darkened room .|Харанхуй өрөөнд үзэгчдийн өмнө тавцан дээрх ширээний ард дөрвөн эрэгтэй хүн сууж байна.
364369665.jpg|0|A man wearing an orange jacket , a ski cap , goggles and a backpack stands on what appears to be solid blue ice .|Улбар шар өнгийн хүрэм, цанын малгай, нүдний шил, үүргэвч зүүсэн эрэгтэй хөх өнгийн мөсөн дээр зогсож байна.
3643807095.jpg|0|Two rodeo guys in flame shirts and jeans try to subdue a dark brown bull in the rodeo ring .|Дөл цамц, жинсэн өмд өмссөн хоёр родео залуу родео цагирагт хар хүрэн бухыг дарах гэж оролдов.
3643971203.jpg|0|Two men in blue suits carrying black briefcases walk into the entrance of Saint Peter 's Church .|Хар цүнх үүрсэн цэнхэр костюмтай хоёр эрэгтэй Гэгээн Петрийн сүмийн үүдэнд орж байна.
3643974707.jpg|0|A child stands in silhouette under an old stone arch on a red tile floor .|Хүүхэд улаан вааран шалан дээр хуучин чулуун нуман хаалганы доор дүрстэй зогсож байна.
3643981804.jpg|0|A Dallas man in a hat reaches up to realtor signs on a brick wall , advertising Trees and the Gypsy Tea Room .|Далласын малгай өмссөн эр тоосгон ханан дээрх риэлторын самбар, мод, цыган цайны өрөөг сурталчлах самбар руу хүрч байна.
3644136054.jpg|0|A man wearing blue is biking on a long , empty , road with grass on either side .|Цэнхэр хувцас өмссөн эрэгтэй хоёр талдаа өвстэй урт, хоосон замаар дугуй унаж байна.
3644142276.jpg|0|Two children kick each other while being suspended from the ceiling .|Таазнаас дүүжлэгдсэн хоёр хүүхэд бие биенээ өшиглөсөн .
3644469632.jpg|0|A man standing in water at the beach , is wearing a pale blue , long-sleeved shirt and a woven hat , and pulling netted fabric from the water .|Далайн эрэг дээр усан дотор зогсож буй эрэгтэй цайвар цэнхэр, урт ханцуйтай цамц, нэхмэл малгай өмсөж, уснаас тортой даавууг сугалж байна.
3644668446.jpg|0|One woman in a black dress and another one in a gray tank top and green shorts are walking on the street somewhat crowded with people .|Нэг нь хар даашинзтай, нөгөө нь саарал цамц, ногоон шорт өмссөн эмэгтэй хүмүүс хөл хөдөлгөөн ихтэй гудамжаар алхаж байна.
3644690490.jpg|0|a middle-aged man wearing a cowboy hat and blue jeans is chasing after a sheep with a kid attached on the side|ковбой малгай, цэнхэр жинсэн өмд өмссөн дунд эргэм насны эр хажуу талд нь хонины хүү наасан хонины араас хөөж байна
3644941648.jpg|0|A man is bouncing on a trampoline next to tall buildings and a church .|Өндөр байшин, сүмийн хажууд нэг хүн трамплин дээр үсэрч байна.
3644945293.jpg|0|Five women inside a room while two are holding something in their hands while sitting and the other three are talking .|Таван эмэгтэй нэг өрөөнд сууж байхад хоёр нь гартаа ямар нэгэн зүйл бариад сууж байхад нөгөө гурав нь ярьж байна.
3645080830.jpg|0|This rooftop skateboarder flies high doing a trick to impress his friend .|Дээвэр дээрх скейтбордчин найздаа гайхуулахын тулд өндөрт нисч байна.
3645134768.jpg|0|A band with four members , one female , plays for a small audience .|Нэг эмэгтэй дөрвөн гишүүнтэй хамтлаг цөөхөн үзэгчдэд зориулж тоглодог.
3645162492.jpg|0|a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony .|илжиг эсвэл одой морь унасан теди баавгай үүрсэн дүрэмт хувцастай шаргал үст хүүхэд .
36451757.jpg|0|Two men with brown shirts on and a woman are outside with two black dogs .|Гадаа бор цамцтай хоёр эрэгтэй, нэг эмэгтэй хоёр хар нохойтой гадаа байна.
3645350123.jpg|0|A woman with a large pink hula hoop grins at the camera while wearing a black and gold skirt and black and white top in front of a crowd of onlookers .|Үзэгчид олны өмнө хар алтан банзал, хар цагаан цамц өмссөн том ягаан цагирагтай эмэгтэй камер руу инээмсэглэж байна.
364542005.jpg|0|Cars covered in snow with a man walking with a snow plow on the sidewalk in front of the snow covered vehicles .|Цасанд дарагдсан машинуудын урд явган хүний зам дээр цас цэвэрлэгч бариад явж байсан машинууд .
3645730082.jpg|0|A young boy is holding onto railing of a staircase while his mother looks onwards to him .|Залуу хүү шатны хашлагаас бариад зогсож байхад ээж нь түүн рүү харж байна.
3645809088.jpg|0|A band of five men singing and playing instruments on stage before an audience .|Үзэгчдийн өмнө тайзан дээр дуулж, хөгжмийн зэмсэг тоглож буй таван эрэгтэй хамтлаг .
3646120271.jpg|0|A blond woman lays in the grass on her pink cellphone lying next to a man in black on his cellphone .|Шаргал үстэй эмэгтэй өвсөн дунд ягаан утсан дээрээ хэвтэж, гар утсан дээрээ хар хувцастай хүний хажууд хэвтэж байна.
3646190566.jpg|0|An aging rocker performs on stage in a sleeveless shirt and striped pants .|Хөгширч буй рокер ханцуйгүй цамц, судалтай өмдтэй тайзан дээр гарч байна.
3646453252.jpg|0|A person wearing a red helmet and yellow and white clothing is riding a bike outside in a wooded area .|Улаан дуулга, шар цагаан хувцас өмссөн хүн гадаа модтой газарт дугуй унаж байна.
3646814919.jpg|0|A stocky gentleman wearing a long-sleeve , blue shirt , black slacks , aged , black boots and a blue billed cap is scaling a roof , using the structure 's struts to approach stacks of tiles stored at the roof 's apex .|Урт ханцуйтай, цэнхэр цамц, хар өмд өмссөн, өндөр настай, хар гутал, цэнхэр хошуутай малгай өмссөн нуруулаг эрхэм барилгын тулгуурыг ашиглан дээвэр дээр хадгалагдсан овоолгын хавтан руу ойртож байна. -ийн орой.
3646820231.jpg|0|A black and brown dog pokes his head above the white farm animals .|Хар бор нохой цагаан фермийн амьтдын дээгүүр толгойгоо цухуйлгаж байна.
3646927481.jpg|0|A motorcyclist dressed in green with a green motorcycle is jumping over a row of green motorcycles|Ногоон мотоцикльтой ногоон хувцас өмссөн мотоцикльчин ногоон мотоциклийн эгнээ дээгүүр үсэрч байна
3646970605.jpg|0|a group of adults are standing under a tree in front of a red brick house .|Улаан тоосгон байшингийн урд модны дор хэсэг томчууд зогсож байна.
3647170476.jpg|0|A group of children and their guardian walk on the boardwalk and eat ice cream .|Хэсэг хүүхэд асран хамгаалагчийн хамт тавцан дээр алхаж, зайрмаг идэж байна.
3647283075.jpg|0|A young man in a red shirt and jeans skateboards over a graffiti-strewn background .|Улаан цамц, жинсэн өмдтэй залуу граффити бүхий дэвсгэр дээр тэшүүрээр гулгаж байна.
3647446816.jpg|0|Two girls play softball , one slides into plate as other fails to catch ball .|Хоёр охин софтбол тоглож, нөгөө нь бөмбөг барьж чадаагүй тул нэг нь таваг руу гулсаж байна.
364747261.jpg|0|Some people have the most unusual centerpieces at their parties .|Зарим хүмүүс үдэшлэг дээрээ хамгийн ер бусын гоёл чимэглэлтэй байдаг.
3647617584.jpg|0|A man in black and a man in blue with a tattooed arm balance atop a plank several stories high .|Хар хувцастай эрэгтэй, хөх хувцастай эрэгтэй хэд хэдэн давхар банзны дээр шивээстэй гар тэнцвэртэй .
3647693147.jpg|0|A small , young boy wearing a white shirt is playing with fallen leaves outside .|Цагаан цамц өмссөн бяцхан хүү гадаа унасан навчаар тоглож байна.
3647750811.jpg|0|a black and white dog is wearing a red collar whilst walking on the grass .|Зүлгэн дээгүүр алхаж яваа хар цагаан нохой улаан хүзүүвч зүүж байна.
3647826834.jpg|0|A woman is playing with two children on a seesaw in a playground .|Эмэгтэй хүн хоёр хүүхэдтэйгээ тоглоомын талбайн хөрөө дээр тоглож байна.
3648081498.jpg|0|A skateboarder in flannel rides his skateboard to the top of a ramp .|Фланел өмссөн скейтбордчин скейтбордоороо налуугийн орой дээр гарч байна.
3648097366.jpg|0|A boy doing a skateboard trick off of a flight of stairs while people watch .|Хүмүүс харж байхад шатнаас скейтборд тоглож буй хүү.
