image_name|comment_number|comment|corrected_comment
6020763700.jpg|0|A woman in a plaid shirt looks at a box of food while another woman to her left in a blue shirt is texting on her phone .|Хуулбар цамцтай эмэгтэй хайрцагтай хоол руу харж байхад түүний зүүн талд цэнхэр цамцтай өөр эмэгтэй утас руу нь мессеж бичиж байна.
6021205363.jpg|0|A group of women , dressed in safety gear , are on rollerskates and skating in front of a large group of people .|Хүмүүсийн өмнө хамгаалалтын хэрэгсэл өмссөн хэсэг эмэгтэйчүүд дугуйт тэшүүрээр гулгаж байна.
6022108522.jpg|0|Two ladies in tank tops are singing into a microphone , they both have dark hair and one is white and the other African American .|Тантай цамц өмссөн хоёр хатагтай микрофонд дуулж байна, хоёулаа хар үстэй, нэг нь цагаан, нөгөө нь Африк гаралтай Америк.
6022784716.jpg|0|Two divers in water looking at large bolts on a piece of equipment above the waterline .|Усан дахь хоёр шумбагчид усны шугамын дээгүүр тоног төхөөрөмж дээрх том боолтыг харж байна.
6025897064.jpg|0|a guitarist with a black shirt on stage playing guitar and singing|тайзан дээр хар цамцтай гитарчин гитар тоглож, дуулж байна
602612183.jpg|0|A group of Indian women are in a factory making clothes , sitting in front of old fashioned sewing machines .|Хэсэг Энэтхэг эмэгтэйчүүд хувцас урлах үйлдвэрт хуучин загварын оёдлын машинуудын өмнө сууж байна.
602723055.jpg|0|Four people sit and listen to a woman in a blue scoop neck talk with two bystanders in the background .|Цэнхэр утгуур хүзүүтэй эмэгтэйн яриаг дөрвөн хүн сууж, цаана нь хоёр хүнтэй ярилцаж байгааг сонсож байна.
6028997083.jpg|0|Two men with glasses are sitting in the dark facing each other both on computers .|Нүдний шилтэй хоёр эрэгтэй компьютер дээр бие биенээ харан харанхуйд сууж байна.
6029705375.jpg|0|A woman is cycling on the pavement next to the beach on an interesting construction with three wheels and a fake horse in front .|Далайн эргийн хажуугийн засмал зам дээр гурван дугуйтай, урдаа хуурамч морьтой сонирхолтой барилга дээр нэгэн эмэгтэй дугуй унаж байна.
6029710737.jpg|0|A group of teenagers are standing in front of some tents , most of them are holding skateboards .|Хэсэг өсвөр насныхан майхны өмнө зогсож байгаа бөгөөд ихэнх нь скейтборд барьчихсан байна.
6029713765.jpg|0|Many people gathered on four little white boats and are going down a waterway in between two houses .|Олон хүмүүс дөрвөн жижиг цагаан завин дээр цугларч, хоёр байшингийн дундах усан замаар явж байна.
6030269328.jpg|0|A man wearing a light blue shirt and a woman with a black and white blouse are sitting at a table , behind an ornate fence with some vines attached to it .|Цайвар цэнхэр цамц өмссөн эрэгтэй, хар цагаан цамц өмссөн эмэгтэй хоёр усан үзмийн мод наасан гоёмсог хашааны ард ширээний ард сууж байна.
6031795624.jpg|0|The tourists are out on the river in Italy , the man in the black and white striped shirt will tell them about the seine .|Жуулчид Италид голын эрэг дээр гарч байна, хар цагаан судалтай цамцтай хүн тэдэнд Сена мөрний тухай ярих болно.
6032152087.jpg|0|A man tends to his laptop in what appears to be a slideshow of sorts .|Эрэгтэй хүн зөөврийн компьютерээ слайд шоу мэтээр харж байна.
6032301402.jpg|0|An older man with a gray beard , wearing jeans , a short-sleeve shirt , white hat and sunglasses is holding something up while standing in a field of wildflowers .|Саарал сахалтай, жинсэн өмд, богино ханцуйтай цамц, цагаан малгай, нарны шил зүүсэн өндөр настай эр зэрлэг цэцэгсийн талбайд зогсож байхдаа ямар нэгэн зүйл бариад зогсож байна.
6032303452.jpg|0|A man in a straw hat kneels to inspect a flower in the country .|Сүрлэн малгайтай хүн өвдөг сөгдөн хөдөө цэцэг үзэж байна .
6033533190.jpg|0|An individual wearing a beanie and a blue coat stands hunched over suitcases of various items , including cameras and scissors , on the sidewalk .|Хөх пальто өмссөн хүн явган хүний зам дээр камер, хайч зэрэг янз бүрийн эд зүйлс бүхий чемодан дээр бөхийж зогсоно.
6034056358.jpg|0|Amid a group of blue-uniformed workers wearing hard hats and life jackets , a person is being pulled out of the water onto a ship , apparently having rescued another person .|Цэнхэр дүрэмт хувцастай, хамгаалалтын малгай, аврах хантааз өмссөн хэсэг ажилчдын дунд нэг хүнийг усан онгоцонд суулгаж, өөр хүнийг аварсан бололтой.
6034227204.jpg|0|A man sitting alone in meditation in an upscale spa setting .|Дээд зэрэглэлийн рашаан сувиллын газарт ганцаараа бясалгалд сууж буй эрэгтэй .
6034236935.jpg|0|A person in a large , open room with a wooden floor , balances on just one hand .|Модон шалтай том задгай өрөөнд байгаа хүн нэг гараараа тэнцвэртэй байна.
603452271.jpg|0|A man holding a red-lidded coffee cup looks on as another man in a brown shirt simultaneously shakes hands and receives a piece of paper from a woman in a pink top .|Улаан тагтай кофены аяга барьсан эрэгтэй хүрэн цамц өмссөн өөр эрэгтэй нэгэн зэрэг гар барьж, ягаан цамцтай эмэгтэйгээс цаас авч байгааг харж байна.
60347149.jpg|0|Two men are practicing martial arts while wearing black robes with red stripes ;the man on the left is bald and is using a stick to block the strike thrown by the dark-haired man on the right .|Хоёр эрэгтэй улаан судалтай хар дээл өмсөж тулааны урлагаар хичээллэж байна; зүүн талын хүн халзан бөгөөд баруун талын хар үстэй залуугийн шидсэн цохилтыг модоор хааж байна.
6036142462.jpg|0|A man with brown hair , light blue button up , and white undershirt has a big smile and raised eyebrows showing a deck of cards spread out in one hand .|Хүрэн үстэй, цайвар цэнхэр товчтой, цагаан дотуур цамцтай эрэгтэй том инээмсэглэж, хөмсгөө өргөсөн, нэг гартаа хөзрийн тавцан дэлгэсэн байна.
6037006359.jpg|0|A child is sitting on a counter helping prepare something to eat by holding a Sunbeam Beatermix mixer waiting to pour in an yellow egg yolk .|Хүүхэд лангуун дээр сууж, Sunbeam Beatermix холигч барин хоол бэлтгэхэд тусалж, шар өндөгний шар асгаж байна.
